tag,T_dist,mode,T_density_pct,T_density_val,n_eligible_in_gate,n_pruned,pct_pruned,n_pruned_Car,n_pruned_Ped,n_pruned_Cyc,dedup_of,lost50_overall,lost50_Car,lost50_Ped,lost50_Cyc,n_baseline_TP,n_lost
Td02p5_dist_only,2.5,dist_only,0,0.0,0,0,0.0,0,0,0,,0.0,0.0,0.0,0.0,9,0
Td02p5_p50,2.5,p50,50,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td02p5_p70,2.5,p70,70,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td02p5_p80,2.5,p80,80,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td02p5_p90,2.5,p90,90,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td05p0_dist_only,5.0,dist_only,0,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td05p0_p50,5.0,p50,50,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td05p0_p70,5.0,p70,70,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td05p0_p80,5.0,p80,80,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td05p0_p90,5.0,p90,90,0.0,0,0,0.0,0,0,0,Td02p5_dist_only,0.0,0.0,0.0,0.0,9,0
Td07p5_dist_only,7.5,dist_only,0,0.0,3,3,0.011673,3,0,0,,0.0,0.0,0.0,0.0,9,0
Td07p5_p50,7.5,p50,50,0.000969,3,2,0.007782,2,0,0,,0.0,0.0,0.0,0.0,9,0
Td07p5_p70,7.5,p70,70,0.001181,3,1,0.003891,1,0,0,,0.0,0.0,0.0,0.0,9,0
Td07p5_p80,7.5,p80,80,0.001287,3,1,0.003891,1,0,0,Td07p5_p70,0.0,0.0,0.0,0.0,9,0
Td07p5_p90,7.5,p90,90,0.001393,3,1,0.003891,1,0,0,Td07p5_p70,0.0,0.0,0.0,0.0,9,0
Td10p0_dist_only,10.0,dist_only,0,0.0,27,27,0.105058,27,0,0,,0.0,0.0,0.0,0.0,9,0
Td10p0_p50,10.0,p50,50,0.001553,27,14,0.054475,14,0,0,,0.0,0.0,0.0,0.0,9,0
Td10p0_p70,10.0,p70,70,0.001816,27,8,0.031128,8,0,0,,0.0,0.0,0.0,0.0,9,0
Td10p0_p80,10.0,p80,80,0.001907,27,6,0.023346,6,0,0,,0.0,0.0,0.0,0.0,9,0
Td10p0_p90,10.0,p90,90,0.00206,27,3,0.011673,3,0,0,,0.0,0.0,0.0,0.0,9,0
Td12p5_dist_only,12.5,dist_only,0,0.0,61,61,0.237354,57,4,0,,0.111111,0.142857,0.0,0.0,9,1
Td12p5_p50,12.5,p50,50,0.001736,61,31,0.120623,29,2,0,,0.111111,0.142857,0.0,0.0,9,1
Td12p5_p70,12.5,p70,70,0.002023,61,19,0.07393,19,0,0,,0.111111,0.142857,0.0,0.0,9,1
Td12p5_p80,12.5,p80,80,0.002082,61,13,0.050584,13,0,0,,0.111111,0.142857,0.0,0.0,9,1
Td12p5_p90,12.5,p90,90,0.002314,61,7,0.027237,7,0,0,,0.111111,0.142857,0.0,0.0,9,1
Td15p0_dist_only,15.0,dist_only,0,0.0,97,97,0.377432,88,9,0,,0.555556,0.571429,0.5,0.0,9,5
Td15p0_p50,15.0,p50,50,0.001784,97,49,0.190661,45,4,0,,0.444444,0.428571,0.5,0.0,9,4
Td15p0_p70,15.0,p70,70,0.00201,97,29,0.11284,28,1,0,,0.222222,0.285714,0.0,0.0,9,2
Td15p0_p80,15.0,p80,80,0.00215,97,20,0.077821,19,1,0,,0.222222,0.285714,0.0,0.0,9,2
Td15p0_p90,15.0,p90,90,0.002419,97,10,0.038911,9,1,0,,0.0,0.0,0.0,0.0,9,0
Td17p5_dist_only,17.5,dist_only,0,0.0,140,140,0.544747,123,17,0,,0.888889,0.857143,1.0,0.0,9,8
Td17p5_p50,17.5,p50,50,0.001855,140,70,0.272374,63,7,0,,0.555556,0.714286,0.0,0.0,9,5
Td17p5_p70,17.5,p70,70,0.002151,140,42,0.163424,38,4,0,,0.333333,0.428571,0.0,0.0,9,3
Td17p5_p80,17.5,p80,80,0.002328,140,28,0.108949,24,4,0,,0.111111,0.142857,0.0,0.0,9,1
Td17p5_p90,17.5,p90,90,0.002901,140,14,0.054475,11,3,0,,0.0,0.0,0.0,0.0,9,0
Td20p0_dist_only,20.0,dist_only,0,0.0,173,173,0.673152,147,25,1,,0.888889,0.857143,1.0,0.0,9,8
Td20p0_p50,20.0,p50,50,0.001917,173,87,0.338521,73,14,0,,0.555556,0.714286,0.0,0.0,9,5
Td20p0_p70,20.0,p70,70,0.002266,173,52,0.202335,42,10,0,,0.222222,0.285714,0.0,0.0,9,2
Td20p0_p80,20.0,p80,80,0.002527,173,35,0.136187,27,8,0,,0.0,0.0,0.0,0.0,9,0
Td20p0_p90,20.0,p90,90,0.003146,173,18,0.070039,14,4,0,,0.0,0.0,0.0,0.0,9,0
