condition_id,class_name,n_pred,n_GT,n_TP,AP50,recall,baseline_TP,n_lost,lost_ratio,small_denominator_flag
baseline_full_sensor,Car,16602,10721,6476,0.577837282575162,0.6040481298386344,6476,0,0.0,False
baseline_full_sensor,Pedestrian,53037,8008,3488,0.3435566042528159,0.4355644355644356,3488,0,0.0,False
baseline_full_sensor,Cyclist,4587,712,251,0.2933180184266616,0.35252808988764045,251,0,0.0,False
D10_p50_density,Car,16596,10721,6420,0.5290455764542602,0.598824736498461,6476,64,0.009882643607164917,False
D10_p50_density,Pedestrian,52987,8008,3464,0.32426537597211347,0.4325674325674326,3488,73,0.020928899082568807,False
D10_p50_density,Cyclist,4593,712,253,0.28517971097215766,0.3553370786516854,251,0,0.0,False
D10_p50_distance_only_matched,Car,16603,10721,6435,0.5661133294741322,0.6002238597145788,6476,43,0.006639901173563928,False
D10_p50_distance_only_matched,Pedestrian,52973,8008,3477,0.32891429344444917,0.4341908091908092,3488,44,0.01261467889908257,False
D10_p50_distance_only_matched,Cyclist,4594,712,248,0.2904021876875875,0.34831460674157305,251,4,0.01593625498007968,False
D10_p70_density,Car,16600,10721,6420,0.5291114308180247,0.598824736498461,6476,62,0.009573810994441012,False
D10_p70_density,Pedestrian,53003,8008,3467,0.32548750518318315,0.4329420579420579,3488,47,0.013474770642201836,False
D10_p70_density,Cyclist,4590,712,251,0.2930679899283558,0.35252808988764045,251,1,0.00398406374501992,False
D10_p70_distance_only_matched,Car,16604,10721,6445,0.5675319682970362,0.6011566085253242,6476,35,0.005404570722668314,False
D10_p70_distance_only_matched,Pedestrian,53000,8008,3482,0.3295897161562249,0.43481518481518483,3488,25,0.007167431192660551,False
D10_p70_distance_only_matched,Cyclist,4596,712,248,0.29060845505094846,0.34831460674157305,251,3,0.01195219123505976,False
D10_p80_density,Car,16600,10721,6429,0.5293670624568159,0.5996642104281317,6476,56,0.008647313156269302,False
D10_p80_density,Pedestrian,53006,8008,3480,0.34106669039613413,0.43456543456543456,3488,26,0.007454128440366973,False
D10_p80_density,Cyclist,4595,712,253,0.29304717949615683,0.3553370786516854,251,0,0.0,False
D10_p80_distance_only_matched,Car,16610,10721,6455,0.5698111912592172,0.6020893573360694,6476,24,0.0037059913526868438,False
D10_p80_distance_only_matched,Pedestrian,52990,8008,3483,0.33052210588394604,0.43494005994005996,3488,19,0.005447247706422019,False
D10_p80_distance_only_matched,Cyclist,4602,712,247,0.2904986932779007,0.34691011235955055,251,4,0.01593625498007968,False
