condition_id,D,percentile,rule,class_name,n_eligible_in_D_gate,n_eligible_total_all_classes,n_selected,n_selected_total_all_classes,selection_rate_within_class,class_share_of_selection,small_eligible_denominator_flag,zero_eligible_denominator_flag,detection_metrics_available_in,per_class_point_removal
D10_p50_density,10.0,50,density,Car,621,4644,455,2322,0.7326892109500805,0.19595176571920758,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p50_density,10.0,50,density,Pedestrian,3876,4644,1787,2322,0.4610423116615067,0.7695951765719208,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p50_density,10.0,50,density,Cyclist,147,4644,80,2322,0.54421768707483,0.034453057708871665,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p50_distance_only_matched,10.0,50,distance_only_matched,Car,621,4644,389,2322,0.6264090177133655,0.16752799310938846,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p50_distance_only_matched,10.0,50,distance_only_matched,Pedestrian,3876,4644,1871,2322,0.4827141382868937,0.805770887166236,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p50_distance_only_matched,10.0,50,distance_only_matched,Cyclist,147,4644,62,2322,0.4217687074829932,0.026701119724375538,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_density,10.0,70,density,Car,621,4644,450,1393,0.7246376811594203,0.3230437903804738,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_density,10.0,70,density,Pedestrian,3876,4644,910,1393,0.2347781217750258,0.6532663316582915,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_density,10.0,70,density,Cyclist,147,4644,33,1393,0.22448979591836735,0.023689877961234746,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_distance_only_matched,10.0,70,distance_only_matched,Car,621,4644,280,1393,0.45088566827697263,0.20100502512562815,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_distance_only_matched,10.0,70,distance_only_matched,Pedestrian,3876,4644,1088,1393,0.2807017543859649,0.7810480976310122,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p70_distance_only_matched,10.0,70,distance_only_matched,Cyclist,147,4644,25,1393,0.17006802721088435,0.017946877243359655,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_density,10.0,80,density,Car,621,4644,389,929,0.6264090177133655,0.418729817007535,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_density,10.0,80,density,Pedestrian,3876,4644,525,929,0.13544891640866874,0.5651237890204521,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_density,10.0,80,density,Cyclist,147,4644,15,929,0.10204081632653061,0.016146393972012917,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_distance_only_matched,10.0,80,distance_only_matched,Car,621,4644,193,929,0.3107890499194847,0.2077502691065662,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_distance_only_matched,10.0,80,distance_only_matched,Pedestrian,3876,4644,723,929,0.18653250773993807,0.7782561894510226,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p80_distance_only_matched,10.0,80,distance_only_matched,Cyclist,147,4644,13,929,0.08843537414965986,0.013993541442411194,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_density,10.0,90,density,Car,621,4644,166,465,0.2673107890499195,0.35698924731182796,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_density,10.0,90,density,Pedestrian,3876,4644,292,465,0.07533539731682147,0.6279569892473118,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_density,10.0,90,density,Cyclist,147,4644,7,465,0.047619047619047616,0.015053763440860216,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_distance_only_matched,10.0,90,distance_only_matched,Car,621,4644,106,465,0.1706924315619968,0.22795698924731184,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_distance_only_matched,10.0,90,distance_only_matched,Pedestrian,3876,4644,354,465,0.0913312693498452,0.7612903225806451,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D10_p90_distance_only_matched,10.0,90,distance_only_matched,Cyclist,147,4644,5,465,0.034013605442176874,0.010752688172043012,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D15_p50_density,15.0,50,density,Car,1585,12139,1288,6070,0.8126182965299684,0.21219110378912687,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D15_p50_density,15.0,50,density,Pedestrian,10050,12139,4505,6070,0.4482587064676617,0.7421746293245469,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
D15_p50_density,15.0,50,density,Cyclist,504,12139,277,6070,0.5496031746031746,0.04563426688632619,False,False,classwise_metrics.csv (join on condition_id),"UNAVAILABLE -- point removal tracked only per-frame, not per-class, in this pipeline"
