condition_id,rule,D,percentile,removed_object_count,removed_pct_of_74464,baseline_TP_count,lost_TP_count,lost_ratio,mAP50,native_mAP,density_threshold_val,effective_cutoff,outer_pool_count,removed_pct_of_outer_pool,removed_id_hash,removed_id_hash_matches_frozen_design,dedup_points_removed,dedup_points_removed_pct_of_34548128,point_mask_hash,points_per_removed_object,provenance
baseline_full_sensor,full_sensor_baseline,,,0,0.0,10215,0,0.0,0.4049039684182132,0.673120629207898,,,,,,,,,,,
D10_p50_density,density,10.0,50,2322,3.118285345938977,10215,137,0.013411649534997553,0.3794968877995104,0.6726071584359578,0.0004558833438378983,,4644,50.0,1545d836a14f92cbac6f79bda41496ed9535da31ab5011e0d23c47f68926f08d,True,396142,1.1466381043858584,9a214f9faf8b910a6545def47ef29ecfb9e6f6abc1bc44dd24b55af9dbdf7c56,170.60378983634797,"controlled run, new in this extension"
D10_p50_distance_only_matched,distance_only_matched,10.0,50,2322,3.118285345938977,10215,91,0.008908467939304944,0.3951432702020563,0.6727494359211328,,7.979926412250895,4644,50.0,7ec56e75ccb990277451cce43ce909c860243d993075a061f13060a01588d138,True,651961,1.8871094839060454,6b0adf687d30a6cf4747d37de30c7be9e3673c7bf0eefaf35a7a0101dfbb95cd,280.775624461671,"controlled run, new in this extension"
D10_p70_density,density,10.0,70,1393,1.8707026214009455,10215,110,0.010768477728830151,0.38255564197652125,0.672548794726849,0.0008964937268599055,,4644,29.99569336778639,13536dea2dc0294cd70ddbc5fc3d733cd525711ac914b81f1c5acacc9be6d166,True,365333,1.0574610583820925,dbaadbe08a7c81aa6376a8f279ae610a6ac598dcf8de5ce0ef30fe620527dc4d,262.2634601579325,"controlled run, new in this extension"
D10_p70_distance_only_matched,distance_only_matched,10.0,70,1393,1.8707026214009455,10215,63,0.006167400881057269,0.3959100465014032,0.6726634836035251,,6.591909806346967,4644,29.99569336778639,12e44710eefbe42a19c7c9ca300ef1d403a110ee1ff365d2d47b1bee830adb84,True,564408,1.6336862014636508,948049d64a07bc7c99fd5749688fc3f5fb559dcf45cef5eacb99bc3a725066fa,405.17444364680546,"controlled run, new in this extension"
D10_p80_density,density,10.0,80,929,1.2475827245380318,10215,82,0.008027410670582477,0.3878269774497023,0.6724978433698882,0.0014421063113332119,,4644,20.00430663221361,e109d442743a9c9e9144b5c415ba7e6407c5e110258cacbf3d1b128a885e1c4e,True,325229,0.9413795155558067,e6cb62c96ae66c6bb5275a6ebcc03db3c091b5cb4c08358996b78a99b7815e0e,350.08503767491925,"controlled run, new in this extension"
D10_p80_distance_only_matched,distance_only_matched,10.0,80,929,1.2475827245380318,10215,47,0.004601076847772883,0.39694399680702136,0.6729808055803496,,5.680190986383189,4644,20.00430663221361,a69f72aef4bd2aca2924a3ae3a417542262a85c4938865464a00bfb698b2b479,True,500584,1.4489468141370785,50b0b2379064223fb7b483e20b8239a21b65bd6b3eeccedfadea6081661fbd6e,538.8417653390743,"controlled run, new in this extension"
D10_p90_density,density,10.0,90,465,0.6244628276751182,10215,43,0.0042094958394517865,0.40160430707385825,0.6729771199037281,0.0031819796892320505,,4644,10.012919896640827,92462f900bc2b1c559719bf96d164f53e23744d76aede8b4cd0849b5cf97b772,True,182677,0.5287609215758377,299f4ff9d2e2a3374370667b8c954680240ce613a4c56ae8f69c902d465bfebd,392.85376344086023,"controlled run, reused (not rerun)"
D10_p90_distance_only_matched,distance_only_matched,10.0,90,465,0.6244628276751182,10215,28,0.002741067058247675,0.40208784639486456,0.6729529167610091,,4.563847863254888,4644,10.012919896640827,24c264054a1addcaf885c0eece136d451a13ca8a1f42d3249fbcbb47e6bd5514,True,306851,0.8881841586322708,527df2ef90594bb3b2628d518e0e8f634c6057df03bfb87756419b7338d07165,659.894623655914,"controlled run, reused (not rerun)"
D15_p50_density,density,15.0,50,6070,8.15159003008165,10215,327,0.032011747430249635,0.37282013368167527,0.6692261925615952,0.00040274562951393174,,12139,50.004118955432894,feec12fb531827bba7f1e91c8cd45b476d11b80521bed45ab124d504c84d96f2,True,577851,1.6725971375352089,9dcc8c5016080bf92e78b5a664852f683f6b5ed58e397f9cb4d150d93a092464,95.1978583196046,"controlled run, new in this extension"
D15_p50_distance_only_matched,distance_only_matched,15.0,50,6070,8.15159003008165,10215,207,0.02026431718061674,0.3734698521917652,0.6716917881863951,,10.983897258584236,12139,50.004118955432894,ef818fd09a179c6006a9f2094e8a3cc8ecd6307d4a03f234ed24768d3b098fb7,True,804279,2.327995890254893,b49363a7fea9c9ecea4c054098a507810e01634d3cba4f58aabb7acd19b14f0a,132.5006589785832,"controlled run, new in this extension"
D15_p70_density,density,15.0,70,3642,4.8909540180489905,10215,240,0.023494860499265784,0.3780664038841761,0.670070673213455,0.0007905913617783209,,12139,30.00247137325974,d73d038b804a6ba564976fa30680d1fb2b4ceef01460b702197dae41daa57b0c,True,533488,1.5441878645349467,1362bd0b4a40a6992474d3baa34be07df8e02f5b3a0b3543d2d5015281b504b0,146.48215266337178,"controlled run, new in this extension"
D15_p70_distance_only_matched,distance_only_matched,15.0,70,3642,4.8909540180489905,10215,145,0.014194811551639746,0.3818186667794566,0.672196290861891,,9.275009074931202,12139,30.00247137325974,fc9b1b7ee6ad60402d15bd70378b77035c39acfe51c91d52d09b69f50028783c,True,725936,2.1012310710438493,a9d1301dea10c57277de448d1611c14380a1bf7815b8dd682d38ecbdb40cbab2,199.3234486545854,"controlled run, new in this extension"
D15_p80_density,density,15.0,80,2428,3.2606360120326605,10215,188,0.018404307391091532,0.38561702041430723,0.670977743390285,0.0011288812785388899,,12139,20.00164758217316,17eec75b08a91cdb1251a351e7177e342a7a8fa0169b31905fdc13eeee15ff0e,True,481574,1.3939221251003817,ae09a000b0c6069d643aafa36847f314b2120c9870cfad80093e2c3922aa4e6f,198.34184514003294,"controlled run, new in this extension"
D15_p80_distance_only_matched,distance_only_matched,15.0,80,2428,3.2606360120326605,10215,95,0.00930004894762604,0.3952000192116952,0.6724612461533301,,8.081551757303954,12139,20.00164758217316,fcbe6d9b2239e7b22ff65f6eaa58a2e8128ccc1cefc421fefc8adff9c8ae8303,True,661847,1.9157246378153976,9b26a26eb18938bd5466eb3784bb7c72aa9ceedcb45f40411760378b4b650f99,272.58937397034595,"controlled run, new in this extension"
D15_p90_density,density,15.0,90,1214,1.6303180060163303,10215,119,0.011649534997552618,0.38754368006403755,0.6724689862403028,0.0019632877332560845,,12139,10.00082379108658,530082a96aa42fcbb67535bdb3e0042f2ea637db8ca8dc31d2932c4fb7ad572e,True,348632,1.0091197994866754,844e9534a8be8087b3c0705438f2765cac2b2f14f8cf4063c7baa36dcacbf068,287.17627677100495,"controlled run, reused (not rerun)"
D15_p90_distance_only_matched,distance_only_matched,15.0,90,1214,1.6303180060163303,10215,49,0.004796867351933431,0.396547258736768,0.6727071167412513,,6.227285307780442,12139,10.00082379108658,93e4b8aef426dd428519b83672cdf6598fb79627f8e702c73e7f53c1e7fd9955,True,549815,1.5914465756292209,38fdd1a72841c58d63ac803e0cd657e01aa9a2582f77516711f9e53d347c9152,452.8953871499176,"controlled run, reused (not rerun)"
D20_p50_density,density,20.0,50,10379,13.93827889987108,10215,511,0.05002447381302007,0.3644142957675824,0.6651804032866148,0.00035662164805365203,,20757,50.00240882593824,9eebcab58cac497722cc8d3f3ab119b22d3bfee179271ab8cf76f7b1748f2630,True,664062,1.9221359837499734,3cb380716781c1dca6ad65f11c5000c8084e8227d7d0db16ce9ba9fdfb79d4a7,63.981308411214954,"controlled run, new in this extension"
D20_p50_distance_only_matched,distance_only_matched,20.0,50,10379,13.93827889987108,10215,309,0.0302496328928047,0.3678955762227989,0.6696131082254521,,13.896066782740304,20757,50.00240882593824,59f9efe07282f1d88f9bc4c02d434a2a5f9241927527854953596ad4f49fc506,True,909226,2.63176632898894,48dcdfa2e02d7c21a2f21f6360d0acd447954b5b56a4cc419d0f74a76a1e49a1,87.60246651893246,"controlled run, new in this extension"
D20_p70_density,density,20.0,70,6227,8.362430167597765,10215,395,0.03866862457170827,0.3724114082012468,0.6668052596290448,0.0007228491670444145,,20757,29.99951823481235,1400753099b5ad7f08d6e74abc217c4e1583c0102e8307cf3160e0f78a38a877,True,614901,1.7798388381564407,e8550f8896560bb3a469c8409124637c7d91a087726be89955bacf7972bd8ac3,98.7475509876345,"controlled run, new in this extension"
D20_p70_distance_only_matched,distance_only_matched,20.0,70,6227,8.362430167597765,10215,208,0.020362212432697015,0.37372367981189475,0.6714964970400301,,11.09272058490577,20757,29.99951823481235,08d58dbe0983d19399dd80740dd9e610dbd76ff27e8eec2f46208008e8f245f4,True,808583,2.340453873506547,5c2662e2671f5e9bceaf1662f71fbb76a19adf1aed9eeed301257877ab5438ce,129.85113216637225,"controlled run, new in this extension"
D20_p80_density,density,20.0,80,4152,5.575848732273314,10215,307,0.030053842388644152,0.3757971953806935,0.66947289873092,0.0010376469016850818,,20757,20.002890591125887,6df25d32457d0d0bc7c02c282e32fc4f1a6cd1d2c0ed3018ca8f8212e1e84333,True,555871,1.6089757453717897,377fe52a1e7971d6c24f40ef001f770e49bf7a0d5a2d41e5dbc51b35963b6406,133.88029865125242,"controlled run, new in this extension"
D20_p80_distance_only_matched,distance_only_matched,20.0,80,4152,5.575848732273314,10215,157,0.015369554576603035,0.37648206775704374,0.6722312300466774,,9.6579795102956,20757,20.002890591125887,70cde1b357618fc187c75ae02f87031787636d7343a8c9bd229193b6f65fc083,True,738927,2.1388336873129568,1494b1f755a89ead05ed3103f075d9b6d7865b31c8ff07838d5b18fc18c937e1,177.96893063583815,"controlled run, new in this extension"
