D,percentile,matched_N,density_threshold_val,distance_only_effective_cutoff,density_points_removed,density_points_removed_pct,do_points_removed,do_points_removed_pct,density_baseline_TP,do_baseline_TP,density_lost_TP,do_lost_TP,density_lost_ratio,do_lost_ratio,delta_lost_ratio,density_mAP50,do_mAP50,delta_mAP50,density_native_mAP,do_native_mAP,delta_native_mAP,provenance
10.0,50,2322,0.0004558833438378983,7.979926412250895,396142,1.1466381043858584,651961,1.8871094839060454,10215,10215,137,91,0.013411649534997553,0.008908467939304944,0.004503181595692608,0.3794968877995104,0.3951432702020563,-0.0156463824025459,0.6726071584359578,0.6727494359211328,-0.00014227748517503525,"controlled run, new in this extension"
10.0,70,1393,0.0008964937268599055,6.591909806346967,365333,1.0574610583820925,564408,1.6336862014636508,10215,10215,110,63,0.010768477728830151,0.006167400881057269,0.004601076847772882,0.38255564197652125,0.3959100465014032,-0.013354404524881958,0.672548794726849,0.6726634836035251,-0.00011468887667609451,"controlled run, new in this extension"
10.0,80,929,0.0014421063113332119,5.680190986383189,325229,0.9413795155558067,500584,1.4489468141370785,10215,10215,82,47,0.008027410670582477,0.004601076847772883,0.003426333822809594,0.3878269774497023,0.39694399680702136,-0.009117019357319067,0.6724978433698882,0.6729808055803496,-0.00048296221046140175,"controlled run, new in this extension"
10.0,90,465,0.0031819796892320505,4.563847863254888,182677,0.5287609215758377,306851,0.8881841586322708,10215,10215,43,28,0.0042094958394517865,0.002741067058247675,0.0014684287812041113,0.40160430707385825,0.40208784639486456,-0.0004835393210063099,0.6729771199037281,0.6729529167610091,2.42031427190037e-05,"controlled run, reused (not rerun)"
15.0,50,6070,0.00040274562951393174,10.983897258584236,577851,1.6725971375352089,804279,2.327995890254893,10215,10215,327,207,0.032011747430249635,0.02026431718061674,0.011747430249632894,0.37282013368167527,0.3734698521917652,-0.0006497185100899361,0.6692261925615952,0.6716917881863951,-0.0024655956247998656,"controlled run, new in this extension"
15.0,70,3642,0.0007905913617783209,9.275009074931202,533488,1.5441878645349467,725936,2.1012310710438493,10215,10215,240,145,0.023494860499265784,0.014194811551639746,0.009300048947626038,0.3780664038841761,0.3818186667794566,-0.003752262895280467,0.670070673213455,0.672196290861891,-0.0021256176484359957,"controlled run, new in this extension"
15.0,80,2428,0.0011288812785388899,8.081551757303954,481574,1.3939221251003817,661847,1.9157246378153976,10215,10215,188,95,0.018404307391091532,0.00930004894762604,0.009104258443465492,0.38561702041430723,0.3952000192116952,-0.009582998797387943,0.670977743390285,0.6724612461533301,-0.001483502763045097,"controlled run, new in this extension"
15.0,90,1214,0.0019632877332560845,6.227285307780442,348632,1.0091197994866754,549815,1.5914465756292209,10215,10215,119,49,0.011649534997552618,0.004796867351933431,0.006852667645619187,0.38754368006403755,0.396547258736768,-0.009003578672730439,0.6724689862403028,0.6727071167412513,-0.00023813050094845245,"controlled run, reused (not rerun)"
20.0,50,10379,0.00035662164805365203,13.896066782740304,664062,1.9221359837499734,909226,2.63176632898894,10215,10215,511,309,0.05002447381302007,0.0302496328928047,0.019774840920215368,0.3644142957675824,0.3678955762227989,-0.0034812804552165066,0.6651804032866148,0.6696131082254521,-0.004432704938837295,"controlled run, new in this extension"
20.0,70,6227,0.0007228491670444145,11.09272058490577,614901,1.7798388381564407,808583,2.340453873506547,10215,10215,395,208,0.03866862457170827,0.020362212432697015,0.018306412139011255,0.3724114082012468,0.37372367981189475,-0.0013122716106479526,0.6668052596290448,0.6714964970400301,-0.004691237410985316,"controlled run, new in this extension"
20.0,80,4152,0.0010376469016850818,9.6579795102956,555871,1.6089757453717897,738927,2.1388336873129568,10215,10215,307,157,0.030053842388644152,0.015369554576603035,0.014684287812041117,0.3757971953806935,0.37648206775704374,-0.0006848723763502318,0.66947289873092,0.6722312300466774,-0.002758331315757423,"controlled run, new in this extension"
20.0,90,2076,0.0017502247193317449,7.649624742990773,426108,1.2333750760677973,635324,1.8389534738322146,10215,10215,192,78,0.018795888399412628,0.0076358296622613805,0.011160058737151247,0.3861117456842349,0.39514385945527447,-0.009032113771039574,0.6709377077789185,0.6724813352348065,-0.0015436274558879859,"controlled run, reused (not rerun)"
22.5,50,12878,0.0003369887458233722,15.488900350989288,692901,2.0056108394642975,959066,2.7760288487989855,10215,10215,607,390,0.05942241801272638,0.0381791483113069,0.02124326970141948,0.3635124504341909,0.37020343858069715,-0.00669098814650626,0.6629663264940711,0.6674808224617538,-0.004514495967682719,"controlled run, new in this extension"
22.5,70,7727,0.0007011698211694155,12.1336703956104,641919,1.8580427859940776,848874,2.457076690233404,10215,10215,478,239,0.04679393049437102,0.02339696524718551,0.02339696524718551,0.37195084173030485,0.37602288082235963,-0.00407203909205478,0.6649084176236744,0.6706931524466488,-0.00578473482297448,"controlled run, new in this extension"
22.5,80,5151,0.0010092323197747686,10.35071063610557,584320,1.6913217410795747,774739,2.2424919810416357,10215,10215,367,186,0.0359275575134606,0.018208516886930984,0.017719040626529615,0.37545540193962595,0.37472152855455504,0.0007338733850709156,0.6679087363760831,0.6720320518703772,-0.004123315494294122,"controlled run, new in this extension"
22.5,90,2576,0.0016791455354159873,8.212785742356443,452484,1.3097207466639003,682319,1.9749811046201982,10215,10215,227,105,0.022222222222222223,0.010279001468428781,0.011943220753793442,0.38641792895528554,0.38304185634855764,0.003376072606727898,0.6694886398410068,0.6726134075418974,-0.0031247677008905406,"controlled run, reused (not rerun)"
30.0,50,21553,0.0003126142880697857,20.402268845113255,752856,2.1791513566234326,1040471,3.0116566663177813,10215,10215,877,598,0.08585413607440039,0.058541360744003915,0.02731277533039647,0.35441740076208256,0.36724053750478686,-0.0128231367427043,0.6579887332971182,0.6604990092159955,-0.002510275918877314,"controlled run, new in this extension"
30.0,70,12932,0.0006836178143181243,15.528072497969708,693364,2.006950998907958,959972,2.778651277429561,10215,10215,692,391,0.06774351443954968,0.038277043563387174,0.029466470876162505,0.3642479971308554,0.3735100766668482,-0.009262079535992784,0.6608231772735046,0.6674476875084567,-0.006624510234952141,"controlled run, new in this extension"
