T_dist_m,class,rule,eligible_in_distance_gate,selected,selection_rate_within_class,class_share_of_selection
10,Car,density,621,166,0.2673,0.3570
10,Car,distance_only_matched,621,106,0.1707,0.2280
10,Pedestrian,density,3876,292,0.0753,0.6280
10,Pedestrian,distance_only_matched,3876,354,0.0913,0.7613
10,Cyclist,density,147,7,0.0476,0.0151
10,Cyclist,distance_only_matched,147,5,0.0340,0.0108
15,Car,density,1585,657,0.4145,0.5412
15,Car,distance_only_matched,1585,267,0.1685,0.2199
15,Pedestrian,density,10050,539,0.0536,0.4440
15,Pedestrian,distance_only_matched,10050,925,0.0920,0.7619
15,Cyclist,density,504,18,0.0357,0.0148
15,Cyclist,distance_only_matched,504,22,0.0437,0.0181
20,Car,density,2785,1116,0.4007,0.5376
20,Car,distance_only_matched,2785,367,0.1318,0.1768
20,Pedestrian,density,16888,898,0.0532,0.4326
20,Pedestrian,distance_only_matched,16888,1658,0.0982,0.7987
20,Cyclist,density,1084,62,0.0572,0.0299
20,Cyclist,distance_only_matched,1084,51,0.0470,0.0246
22.5,Car,density,3527,1327,0.3762,0.5151
22.5,Car,distance_only_matched,3527,438,0.1242,0.1700
22.5,Pedestrian,density,20776,1147,0.0552,0.4453
22.5,Pedestrian,distance_only_matched,20776,2070,0.0996,0.8036
22.5,Cyclist,density,1452,102,0.0702,0.0396
22.5,Cyclist,distance_only_matched,1452,68,0.0468,0.0264
30,Car,density,6197,1822,0.2940,0.4226
30,Car,distance_only_matched,6197,543,0.0876,0.1260
30,Pedestrian,density,34184,2229,0.0652,0.5170
30,Pedestrian,distance_only_matched,34184,3633,0.1063,0.8427
30,Cyclist,density,2724,260,0.0954,0.0603
30,Cyclist,distance_only_matched,2724,135,0.0496,0.0313
