T_dist_m,rule,selected_boxes,selected_pct_of_eligible_pool,dedup_points_removed,dedup_points_removed_pct_of_holdout,lost_ratio,mAP50,native_mAP
baseline,full-sensor baseline,0,0.00,0,0.00,0.00000,0.40490,0.67312
10,distance-only,4644,6.24,759665,2.20,0.01703,0.37547,0.67213
10,distance+density p80,929,1.25,325229,0.94,0.00803,0.38783,0.67250
10,distance+density p90,465,0.62,182677,0.53,0.00421,0.40160,0.67298
15,distance-only,12139,16.30,947760,2.74,0.03563,0.37085,0.66818
15,distance+density p80,2428,3.26,481574,1.39,0.01840,0.38562,0.67098
15,distance+density p90,1214,1.63,348632,1.01,0.01165,0.38754,0.67247
20,distance-only,20757,27.88,1034984,3.00,0.05698,0.36696,0.66297
20,distance+density p80,4152,5.58,555871,1.61,0.03005,0.37580,0.66947
20,distance+density p90,2076,2.79,426108,1.23,0.01880,0.38611,0.67094
22.5,distance-only,25755,34.59,1063960,3.08,0.06814,0.36625,0.65985
22.5,distance+density p80,5151,6.92,584320,1.69,0.03593,0.37546,0.66791
22.5,distance+density p90,2576,3.46,452484,1.31,0.02222,0.38642,0.66949
30,distance-only,43105,57.89,1124731,3.26,0.09721,0.34704,0.65491
30,distance+density p80,8621,11.58,632369,1.83,0.05198,0.37175,0.66439
30,distance+density p90,4311,5.79,500991,1.45,0.03084,0.38417,0.66715
