T_dist_m,density_percentile,matched_selected_boxes,distance_only_effective_cutoff_m,density_lost_ratio,distance_only_lost_ratio,delta_lost_ratio_density_minus_distance_only
10,50,2322,7.98,0.01341,0.00891,+0.00450
10,70,1393,6.59,0.01077,0.00617,+0.00460
10,80,929,5.68,0.00803,0.00460,+0.00343
10,90,465,4.56,0.00421,0.00274,+0.00147
15,50,6070,10.98,0.03201,0.02026,+0.01175
15,70,3642,9.28,0.02349,0.01419,+0.00930
15,80,2428,8.08,0.01840,0.00930,+0.00910
15,90,1214,6.23,0.01165,0.00480,+0.00685
20,50,10379,13.90,0.05002,0.03025,+0.01977
20,70,6227,11.09,0.03867,0.02036,+0.01831
20,80,4152,9.66,0.03005,0.01537,+0.01468
20,90,2076,7.65,0.01880,0.00764,+0.01116
22.5,50,12878,15.49,0.05942,0.03818,+0.02124
22.5,70,7727,12.13,0.04679,0.02340,+0.02340
22.5,80,5151,10.35,0.03593,0.01821,+0.01772
22.5,90,2576,8.21,0.02222,0.01028,+0.01194
30,50,21553,20.40,0.08585,0.05854,+0.02731
30,70,12932,15.53,0.06774,0.03828,+0.02947
30,80,8621,12.76,0.05198,0.02487,+0.02712
30,90,4311,9.79,0.03084,0.01537,+0.01547
